Time,X-coordinate,Y-coordinate
2.129999999999999893e+00,1.875169507957548776e+00,-8.551432356123552792e-01
2.140000000000000124e+00,-1.740713476910638935e+00,7.536175158643256822e-01
2.149999999999999911e+00,-2.739532940345211776e-01,2.916468789124055494e+00
2.160000000000000142e+00,-1.823355562569206612e-01,-1.089913927148379313e+00
2.169999999999999929e+00,-2.032679008950285748e+00,-1.194153548197784964e+00
2.180000000000000160e+00,-1.265846732407904351e+00,-1.724665195122027761e+00
2.189999999999999947e+00,1.205435739715635002e+00,7.654693071985186892e-01
2.200000000000000178e+00,1.964254685309211101e+00,-5.329710592026271065e-01
2.209999999999999964e+00,2.671518980245486397e-01,-1.067844586991295364e+00
2.220000000000000195e+00,-1.104838907894616806e+00,9.399618719209454909e-01
2.229999999999999982e+00,-1.344577052908684900e+00,-2.334778939519870367e-01
2.240000000000000213e+00,2.002560543400372595e+00,2.047567035978154149e+00
2.250000000000000000e+00,-3.404291624514841352e-01,-1.779962137685732193e+00
2.260000000000000231e+00,7.226356606000274851e-01,2.007283413362895619e+00
2.270000000000000018e+00,1.115307587717924154e-01,1.261699151218684145e+00
2.280000000000000249e+00,2.757869836547854892e-02,2.471841407873990981e+00
2.290000000000000036e+00,2.100959113758431140e+00,2.214409124887040115e-02
2.300000000000000266e+00,-1.206200100825145505e+00,-2.740662557527950405e+00
2.310000000000000053e+00,1.655410715866489024e+00,7.827622742805084854e-01
2.319999999999999840e+00,-1.319144975480019966e+00,-2.073975745497759204e-01
2.330000000000000071e+00,2.495916221505088295e+00,-6.580060583065523439e-01
2.339999999999999858e+00,6.171012695394144654e-01,1.896993264610720376e+00
2.350000000000000089e+00,2.129379509072572230e+00,1.819634942645408815e+00
2.359999999999999876e+00,-8.639292611294711044e-01,-1.884941575530231672e+00
2.370000000000000107e+00,-7.757511936323184809e-01,-1.848367321777995897e+00
2.379999999999999893e+00,-1.217232028141715050e+00,3.574512474113813454e-01
2.390000000000000124e+00,-1.786846423167080200e+00,-2.115630240820525643e+00
2.399999999999999911e+00,1.922527871525351539e+00,-2.926130327800051667e-01
2.410000000000000142e+00,1.119481404894437926e-01,1.096067568834132366e+00
2.419999999999999929e+00,-6.878069574611611614e-01,-2.141619458200325177e+00
2.430000000000000160e+00,-1.071211690740893729e+00,2.745909696829138547e+00
2.439999999999999947e+00,2.940128542441714288e+00,-4.175147443968647565e-01
2.450000000000000178e+00,-6.460544173951989766e-01,-2.664899390939519552e+00
2.459999999999999964e+00,-2.407866198371970690e+00,1.943190386952231563e-03
2.470000000000000195e+00,-9.152118461371436808e-01,1.071646782953776578e+00
2.479999999999999982e+00,-6.830968912922906755e-01,9.149290980970857801e-01
2.490000000000000213e+00,-2.076128896491715725e-01,2.483391306495083217e+00
2.500000000000000000e+00,1.612133009954789475e+00,2.528564351264965815e+00
2.510000000000000231e+00,1.646797241443713755e-01,-2.810259911077300998e+00
2.520000000000000018e+00,-9.769315881969005133e-01,5.204868766917707390e-01
2.530000000000000249e+00,-9.439008545005180828e-01,-7.566492822938157836e-01
2.540000000000000036e+00,1.553935155639981636e+00,1.383126076557066986e+00
2.550000000000000266e+00,2.060292710613630618e+00,-2.075662165374025481e+00
2.560000000000000053e+00,-9.521353892456916324e-01,-5.836047108341343437e-01
2.569999999999999840e+00,9.698656474136886363e-01,2.459408234008987060e-01
2.580000000000000071e+00,-9.062985982012615738e-01,-5.807610036494876837e-01
2.589999999999999858e+00,7.174103955660249277e-02,1.057725372827747368e+00
2.600000000000000089e+00,1.016075868602620114e+00,6.592133820239073905e-02
2.609999999999999876e+00,4.792727027873134316e-01,-9.863220112884379942e-01
2.620000000000000107e+00,-4.585540860292318666e-01,-1.341415913285649131e+00
2.629999999999999893e+00,-1.293429164933339592e+00,-1.021496398779757175e+00
2.640000000000000124e+00,-1.814607601816136562e+00,-3.212806130315662978e-01
2.649999999999999911e+00,-2.010752051496266013e+00,5.039978887675575780e-01
2.660000000000000142e+00,-1.936648150769725074e+00,1.284901358084071799e+00
2.669999999999999929e+00,-1.686162135665069783e+00,1.911901044954964268e+00
2.680000000000000160e+00,-1.366372394979145088e+00,2.347810350374143873e+00
2.689999999999999947e+00,-1.058600512687650319e+00,2.615115677672862571e+00
2.700000000000000178e+00,-8.020884806293278046e-01,2.759753727334541828e+00
2.709999999999999964e+00,-6.009271443218551223e-01,2.822800312222427443e+00
2.720000000000000195e+00,-4.373387381531081419e-01,2.828820074545025154e+00
2.729999999999999982e+00,-2.840471630008025716e-01,2.787256467079319400e+00
2.740000000000000213e+00,-1.154848647083437374e-01,2.700447041720182018e+00
2.750000000000000000e+00,8.377731256698828233e-02,2.570495646732441131e+00
2.760000000000000231e+00,3.151345815094374059e-01,2.401796859784322002e+00
2.770000000000000018e+00,5.667846857797703697e-01,2.201184605688486506e+00
2.780000000000000249e+00,8.187723352071141214e-01,1.977758901071769326e+00
2.790000000000000036e+00,1.050438124414941443e+00,1.742405165128042555e+00
2.800000000000000266e+00,1.246938158538608343e+00,1.506430695374974871e+00
2.810000000000000053e+00,1.401865594564618789e+00,1.279748146315145885e+00
2.819999999999999840e+00,1.515841765161250132e+00,1.069614680948526075e+00
2.830000000000000071e+00,1.593406773464261850e+00,8.803434964448288991e-01
2.839999999999999858e+00,1.640355332214938011e+00,7.137098196629291236e-01
2.850000000000000089e+00,1.662199288735715541e+00,5.696137686357410912e-01
2.859999999999999876e+00,1.663537178372380243e+00,4.467156842499880876e-01
2.870000000000000107e+00,1.647943581746869945e+00,3.429333645377292683e-01
2.879999999999999893e+00,1.618100336117328286e+00,2.557904170382268028e-01
2.890000000000000124e+00,1.576017694851310935e+00,1.826427064016786783e-01
2.899999999999999911e+00,1.523276161127971262e+00,1.208161890394012783e-01
2.910000000000000142e+00,1.461265859090829178e+00,6.768478500940999787e-02
2.919999999999999929e+00,1.391425545760311522e+00,2.071118710484376457e-02
2.930000000000000160e+00,1.315498914341252323e+00,-2.252899983771161629e-02
2.939999999999999947e+00,1.235838069685678331e+00,-6.431558668875581031e-02
2.950000000000000178e+00,1.155794491759786879e+00,-1.067053219457855251e-01
2.959999999999999964e+00,1.080236556899317302e+00,-1.513311537089898628e-01
2.970000000000000195e+00,1.016164106849422488e+00,-1.989306717428399596e-01
2.979999999999999982e+00,9.729617246449593360e-01,-2.483437214252701697e-01
2.990000000000000213e+00,9.582927759600952111e-01,-2.946175998547777564e-01
3.000000000000000000e+00,9.836280993056704114e-01,-3.323422903637533454e-01
3.010000000000000231e+00,1.092717308787754638e+00,-3.426387164670798291e-01
3.020000000000000018e+00,1.358524991342497046e+00,-2.525620969687744077e-01
3.030000000000000249e+00,1.826417387752594879e+00,1.268933377864447376e-01
3.040000000000000036e+00,2.299156563413395027e+00,9.817982228634389852e-01
3.050000000000000266e+00,2.291844571357285698e+00,1.931287673626846724e+00
3.060000000000000053e+00,9.493989766798547336e-01,-2.797678143814042340e+00
3.070000000000000284e+00,-2.100003253404566284e+00,1.216973814601749249e+00
3.080000000000000071e+00,1.868074256265382926e+00,1.549984115622962122e-01
3.089999999999999858e+00,-1.882733240922693785e+00,-2.114050599507483419e+00
3.100000000000000089e+00,-2.163149687637143437e+00,4.515447827181146012e-01
3.109999999999999876e+00,-6.710585118162452067e-01,1.491972033870381686e+00
3.120000000000000107e+00,7.046240183740881680e-01,8.862707505221786297e-01
3.129999999999999893e+00,9.678573523676343715e-01,-3.627410639251408275e-01
3.140000000000000124e+00,2.445483977362978567e-01,-1.095069955626968294e+00
3.149999999999999911e+00,-4.552636154223775877e-01,-1.208774164175646870e+00
3.160000000000000142e+00,-9.381161321469760894e-01,-1.013020886618718031e+00
3.169999999999999929e+00,-1.251712928669444835e+00,-7.011673960564288599e-01
3.180000000000000160e+00,-1.452387687966087526e+00,-3.593427625882589238e-01
3.189999999999999947e+00,-1.581593781712806068e+00,-2.101649632900515208e-02
3.200000000000000178e+00,-1.669029041071040442e+00,3.029314494795821711e-01
3.209999999999999964e+00,-1.733444933709010760e+00,6.087901605437501251e-01
3.220000000000000195e+00,-1.785086392233591113e+00,8.919730721271857954e-01
3.229999999999999982e+00,-1.829276471139463567e+00,1.145451606260189603e+00
3.240000000000000213e+00,-1.868925915534727755e+00,1.362173323202124031e+00
3.250000000000000000e+00,-1.905401282032090249e+00,1.537850258796967795e+00
3.260000000000000231e+00,-1.938726613045653746e+00,1.672107303816290580e+00
3.270000000000000018e+00,-1.967939145561425907e+00,1.768003941373869958e+00
3.280000000000000249e+00,-1.991630147826477293e+00,1.830736438357477347e+00
3.290000000000000036e+00,-2.008346855760239080e+00,1.866231284418135461e+00
3.300000000000000266e+00,-2.016656666616716276e+00,1.880048775339305589e+00
3.310000000000000053e+00,-2.014935764535726204e+00,1.876779226359619468e+00
3.320000000000000284e+00,-2.001088570613812401e+00,1.859919900695890638e+00
3.330000000000000071e+00,-1.972367577481716872e+00,1.832066649457224194e+00
3.339999999999999858e+00,-1.925334693159994170e+00,1.795201094416604137e+00
3.350000000000000089e+00,-1.855912258464556874e+00,1.750913171592450412e+00
3.359999999999999876e+00,-1.759460261484570243e+00,1.700494837377014568e+00
3.370000000000000107e+00,-1.630852725442120121e+00,1.644900469345861094e+00
3.379999999999999893e+00,-1.464574720960208687e+00,1.584576267715148035e+00
3.390000000000000124e+00,-1.254920438125876503e+00,1.519126723403457113e+00
3.399999999999999911e+00,-9.964746200167947654e-01,1.446712130759402859e+00
3.410000000000000142e+00,-6.852871090770630280e-01,1.362929638821837264e+00
3.419999999999999929e+00,-3.217263838177394364e-01,1.258676206572585166e+00
3.430000000000000160e+00,8.244347400766760536e-02,1.116350297988526474e+00
3.439999999999999947e+00,4.869941318528479002e-01,9.073347641827793630e-01
3.450000000000000178e+00,8.043600534165331606e-01,6.223417029446156601e-01
3.459999999999999964e+00,9.473103632744496183e-01,3.255548872003708460e-01
3.470000000000000195e+00,1.044460061105285664e+00,5.799818224291031221e-02
3.479999999999999982e+00,1.060378332713289851e+00,-1.822953822626781628e-01
3.490000000000000213e+00,1.053026895577867439e+00,-3.799721506020097284e-01
3.500000000000000000e+00,1.054473313184768113e+00,-5.473708012470986928e-01
3.510000000000000231e+00,1.081498185863980499e+00,-6.990713521991148705e-01
3.520000000000000018e+00,1.138785044946886815e+00,-8.429567964000772573e-01
3.530000000000000249e+00,1.222731621069177432e+00,-9.776078408711582624e-01
3.540000000000000036e+00,1.325624818942497729e+00,-1.095704218058617174e+00
